id,x,y,z,yaw,road_id,section_id,lane_id
18325045401561386085,300.3998718261719,133.50379943847656,0.0,0.025599390268325806,4,0,-1
15721141125092853387,301.3998718261719,133.50425720214844,0.0,0.025599390268325806,4,0,-1
336577771378007601,302.3998718261719,133.50469970703125,0.0,0.025599390268325806,4,0,-1
15099898807703416464,303.3998718261719,133.50514221191406,0.0,0.025599390268325806,4,0,-1
710381218510760886,304.3998718261719,133.50559997558594,0.0,0.025599390268325806,4,0,-1
10547100723992390492,305.3998718261719,133.50604248046875,0.0,0.025599390268325806,4,0,-1
16430407285704748466,306.3998718261719,133.50648498535156,0.0,0.025599390268325806,4,0,-1
7174090503885061601,307.3998718261719,133.50692749023438,0.0,0.025599390268325806,4,0,-1
12566027307771116599,308.3998718261719,133.50738525390625,0.0,0.025599390268325806,4,0,-1
6547142143776975837,309.3998718261719,133.50782775878906,0.0,0.025599390268325806,4,0,-1
7491691266911123331,310.3998718261719,133.50827026367188,0.0,0.025599390268325806,4,0,-1
13301100930965072226,311.3998718261719,133.5087127685547,0.0,0.025599390268325806,4,0,-1
1875276096972491016,312.3998718261719,133.50917053222656,0.0,0.025599390268325806,4,0,-1
8501760471319438510,313.3998718261719,133.50961303710938,0.0,0.025599390268325806,4,0,-1
17436135608824542292,314.3998718261719,133.5100555419922,0.0,0.025599390268325806,4,0,-1
4949744599750247219,315.3998718261719,133.51051330566406,0.0,0.025599390268325806,4,0,-1
9735411244241957593,316.3998718261719,133.51095581054688,0.0,0.025599390268325806,4,0,-1
8247044387178633167,317.3998718261719,133.5113983154297,0.0,0.025599390268325806,4,0,-1
7842995992504937717,318.3998718261719,133.5118408203125,0.0,0.025599390268325806,4,0,-1
15544868055646078980,319.3998718261719,133.51229858398438,0.0,0.025599390268325806,4,0,-1
5279183410331006202,320.3998718261719,133.5127410888672,0.0,0.025599390268325806,4,0,-1
17236534204089141024,321.3998718261719,133.51318359375,0.0,0.025599390268325806,4,0,-1
14308224050279888582,322.3998718261719,133.51364135742188,0.0,0.025599390268325806,4,0,-1
17174748993193573157,323.3998718261719,133.5140838623047,0.0,0.025599390268325806,4,0,-1
